prompt,chosen,rejected
"Genereer een korte en informatieve titel: De Regio Zwolle Monitor brengt jaarlijks het reilen en zeilen van Regio Zwolle in beeld aan de hand van statistieken en cijfers. Het signaleert trends en ontwikkelingen en geeft een indruk van de ontwikkelkracht van de regio. Daarmee is de Regio Zwolle Monitor voor de Economic Board Regio Zwolle een belangrijke bron van informatie om te bepalen op welk terrein de (economische) koers van de regio bijgestuurd kan of moet worden. Deze monitor biedt een rijk en feitelijk onderbouwd beeld van hoe de regio ervoor staat toegespitst op vier thema’s: brede welvaart, economisch verdienvermogen, inclusieve samenleving en duurzame leefomgeving.",Regio Zwolle in beeld aan de statistieken en cijfers,Regio Zwolle Monitor: reilen en zeilen de economic
"Genereer een korte en informatieve titel: This research explored whether machine learning models could predict shifts in participants’ preferences and attitudes towards energy solutions based on behavioural and self-reported engagement data collected during visual educational interventions. Through four sub-questions, the study evaluated how modelling, data structure, processing, and interpretation contributed to answering the main research question and achieving the project’s broader goals.The first sub-question examined which machine learning techniques were best suited for identifying patterns in participants’ behaviour and decision-making. An iterative evaluation process showed that a combination of simple and moderately complex models offered the best balance between interpretability and analytical depth, given the small sample size and high feature dimensionality. Logistic regression and shallow random forests were selected for supervised modelling, as they combined strong performance with transparency and enabled meaningful interpretation of the factors contributing to learning outcomes.In parallel, unsupervised methods such as K-means and hierarchical clustering were applied to reveal behavioural groupings without relying on self-reported labels. This dual approach was justified by the complementary insights it produced. Supervised models supported predictive analysis, while unsupervised models uncovered natural engagement profiles. Explainability and transparency were prioritised throughout to align with the behavioural goals of the study and support the identification of key engagement patterns.The second sub-question addressed the structure and quality of the collected datasets and their impact on modelling. Two complementary sources were used: behavioural eye-tracking data and self-reported questionnaire responses. While both datasets were complete and internally consistent, they posed certain challenges. The eye-tracking data required aggregation to ensure comparability across participants and slides, while some questionnaire items showed limited variation, reducing their value as predictors. Nonetheless, meaningful associations emerged. Reported learning scores were linked to behavioural engagement signals such as pupil dilation, fixation duration, and time spent on specific content. Demographics and attitudinal traits including environmental interest, ethical concern, and study programme also influenced engagement and learning.These findings supported key project assumptions and informed model design by identifying features with predictive value. Overall, the integration of behavioural and participant-level variables contributed to a more comprehensive understanding of engagement.The third sub-question explored the preprocessing techniques required to transform raw data into modelling-ready formats. This stage proved foundational to the project’s success. A step-by-step process was used to extract behavioural patterns and align them with participant data. The first iteration created a detailed but complex dataset by summarising second-by-second recordings and integrating cleaned questionnaire responses. The second iteration improved on this by using two strategies.These included selective feature refinement through forward selection and rule-based engagement score construction. Both approaches reduced dimensionality while retaining behavioural depth and theoretical relevance. Ultimately, this phase enabled the translation of complex signals into structured inputs, supporting model accuracy and interpretability.The second modelling iteration achieved the project’s data mining goals. Using a refined dataset created through feature selection (Approach 1), a multinomial logistic regression model predicted reported learning levels with high accuracy and macro F1-score. This confirmed that a compact behavioural and participant feature set could model variation in outcomes.Meanwhile, hierarchical clustering based on rule-based engagement scores (Approach 2) identified two behavioural clusters. Although these were not significantly associated with learning scores, they reflected meaningful differences in engagement styles, especially across content types.The modelling results supported most core assumptions. Behavioural indicators of engagement, especially pupil dilation, fixation duration, and gaze metrics, were among the strongest predictors in the supervised model, particularly on slides covering nuclear, ethical, and solar content. Participant characteristics including age group and study year had moderate predictive value, supporting the assumption that user background shapes learning. Attitudinal traits such as post-session preferences contributed less. Slide order had minimal impact and did not meaningfully affect predictions. Participants with similar self-reported energy preferences were often assigned to different behavioural clusters, suggesting that eye-tracking captured engagement patterns not fully reflected in survey responses.Overall, the project successfully demonstrated that machine learning models can predict learning outcomes and uncover engagement patterns by combining behavioural and participant-level data. The findings confirmed that content-specific engagement signals, alongside selected background features, were key to modelling success. These results offer valuable insight into how users process educational material and highlight the potential of data-driven approaches for understanding and supporting sustainable learning interventions.",Machine learning models can predict shifts in participants’ preferences and attitudes towards energy solutions based on behavioural and self-reported engagement data collected during visual educational,Machine learning models predicted shifts in preferences of participants’ preferences and attitudes towards energy solutions
"Genereer een korte en informatieve titel: Background&aims Obesity and sarcopenia are major health concerns, particularly among older populations. Dietary protein may help preserve muscle mass and function, but high-protein diets, especially from animal sources, may also increase adipose mass. We investigated associations of total, animal, and plant protein intake with body composition trajectories, sarcopenia, and sarcopenic obesity. Methods We included 4576 participants (mean age 65.1 years, 56 % women) from the population-based Rotterdam Study. Dietary protein was measured using food-frequency questionnaires at baseline (2004–2009). Body composition was measured every 4–5 years using dual X-ray-absorptiometry. Handgrip strength (HGS) was assessed starting 2006 using a hydraulic dynamometer. Sarcopenia was determined based on low appendicular skeletal muscle and HGS; and sarcopenic obesity risk based on measures of lean mass, HGS and body fat. Analyses used linear mixed models and generalized estimate equation models. Results Higher total protein intake was associated with increased BMI over time (mean difference [95 %-confidence interval (CI)]: 0.86 kg/m2 [0.01,1.71] per 5E% increase), and increased fat-mass index (1.33 [0.67,1.99]), body-fat-percentage (4.54[2.76,6.31]), and both gynoid and android fat percentage. Higher protein intake was also associated with a higher sarcopenic obesity risk (−0.85[-1.5,-0.2]), but with a lower sarcopenia risk (odds ratio: 0.62 [0.43,0.90]). These associations were mainly driven by animal protein. Conclusion Higher protein intake, particularly from animal food sources, is protective against sarcopenia but also linked to a higher obesity risk. A balanced protein intake advice for older persons should be formulated based on individual needs and health status to prevent sarcopenia, obesity, and sarcopenic obesity.",Obesity and sarcopenia in the Rotterdam Population-based Rotterdam Study,"Statistical analysis of body composition trajectories, sarcopenia, and sarcopenic obesity: a prospective cohort study"
Genereer een korte en informatieve titel: De roep om hardnekkige problemen in wijken in co-creatie met bewoners aan te pakken veronderstelt dat professionals uit allerlei verschillende domeinen en organisaties over hun grenzen heen met elkaar samenwerken. Dat blijkt keer op keer gemakkelijker gezegd dan gedaan. In deze bijdrage pleiten we voor het kijken naar mechanismen van boundary spanning als alternatief voor en aanvulling op de focus op personen.,De roep om hardnekkige problemen in wijken in co-creatie met bewon,Regeneration en die Wijken in co-creatie met bewoners
"Genereer een korte en informatieve titel: Ouderbetrokkenheid draagt bij aan de ontwikkeling van kinderen. In de Gelderse Vallei werken basisscholen sinds 2024–2025 met brugfunctionarissen om de verbinding tussen school, thuis en zorg te versterken. Dit onderzoek richt zich op het perspectief van ouders, dat in eerder onderzoek onderbelicht bleef. Met behulp van een praatplaat zijn tien ouders geïnterviewd. Ouders ervaren versterkende factoren voor ouderbetrokkenheid in het contact met brugfunctionarissen: vertrouwen en toegankelijkheid, verbinding en praktische ondersteuning. Brugfunctionarissen vormen op deze manier een brug tussen ouders en zorg. Hun rol vraagt om verdere rolverheldering en borging, zodat deze ondersteuning ook na de subsidieperiode kan voortbestaan.",Ouderbetrokkenheid draagt bij aan de ontwikkeling van kinderen,Uderbetrokkenheid rozagt bij aan des ontwikkeling van kinderen?
"Genereer een korte en informatieve titel: In de openbare les ‘Loyaliteit in meervoud’ betoogt Danielle van de Koot dat:1) loyaliteit een onderscheidend en onmisbaar begrip is om kinderen die uithuisgeplaatst zijn beter te begrijpen,2) dat zowel de kracht van loyaliteiten als conflicterende loyaliteiten meer aandacht moeten krijgen in onderzoek en3) dat onderzoek moet starten bij de ervaringen van kinderen zelf om tot meer betrouwbare resultaten te komen.Duidelijk wordt welke inzichten onderzoek al heeft opgeleverd, welke misverstanden er bestaan en wat vervolgstappen in onderzoek moeten zijn. Zo dient betrouwbaar onderzoek naar loyaliteitsconflicten bij kinderen te starten bij de ervaringen van kinderen zelf. Cruciaal in de omgang met loyaliteiten lijkt het woord ‘ruimte’. Kinderen hebben ruimte nodig om loyaal te mogen te mogen zijn aan iedereen die voor hen belangrijk is. Volwassenen kunnen deze ruimte voor loyaliteit in meervoud creëren, als zij zelf geen eisende partij worden of loyaliteit opdringen.",Onderscheidend en onmisbaar begrip om kinderen die uithuisgeplaatst,Rearbeat of loyaltyiteit
"Genereer een korte en informatieve titel: Dementie, met als voornaamste oorzaak de ziekte van Alzheimer, wordt in het algemeen vooral gezien als een ziekte waarbij cognitieve problemen optreden. Dat er ook al in een vroeg stadium motorische stoornissen optreden is veel minder bekend. In deze lezing wordt ingegaan op de motorische problemen bij dementie en paratonie in het bijzonder.","Dementie, met als voornaamste oorzaak de ziekte van Alzheimer",Dementie de zoornaamste van Alzheimer
"Genereer een korte en informatieve titel: Book review of J.B. Fressoz (2024). More and More and More. An All-Consuming History of Energy, Penguin Random House, 400 pp. First published on: https://vbds.nl/2025/11/01/more-and-more-and-more/. A Dutch version of this review has been added. This translation is also published on: https://vbds.nl/wp-content/uploads/2025/11/Meer-en-Meer-en-Meer.pdf.","J.B. Fressoz 2024: More and More and More. An All-Consuming History of Energy, Penguin Random House,",Dej Bell and Sally Smiths
"Genereer een korte en informatieve titel: De gemeente Haarlem koos voor een vernieuwende aanpak bij de herinrichting van de Nieuwe Groenmarkt. In plaats van een traditioneel ontwerptraject besloot het college in september 2023 om het plan in co-creatie met bewoners, ondernemers en maatschappelijke organisaties te ontwikkelen. Ontwerpbureau Open Kaart kreeg de regie. Het resultaat is een proces met daarin gebruik van onder meer grensobjecten en grensoverbruggende taal. Gertjan de Groot spreekt met Jurrian Arnold (Open Kaart) over de kleine overwinningen en belangrijke momenten tijdens dit ontwerpproces.",Haarlem koos voor een traditioneel ontwerptraject besloot he,Den de gijksoor je ontwerptraject besloot voor de herinriching van o
Genereer een korte en informatieve titel: Dit verslag beschrijft het afstudeeronderzoek in het kader van de opleiding Archeologie aan Saxion Hogeschool te Deventer. Het afstudeeronderzoek betreft een prospectief archeologisch onderzoek naar het achterhalen van de oorsprong en context van een landschappelijk reliëf met lineaire verhogingen in het maaiveld in Zoeterwoude.,Afstudeeronderzoek in het kader van de opleiding Archeologie aan Saxi,Archeologie aan Saxion Hogeschool te Deventer
"Genereer een korte en informatieve titel: In diepte-interviews met een diverse groep jongeren tussen de 18 en 25 jaar doken we in verschillende onderwerpen met betrekking tot het nieuws. Samen met de deelnemers scrolden we op hun telefoon door hun favoriete nieuwsplatform. Zo konden we meteen bespreken: welke berichten spraken hen aan, waarom zouden ze iets wel of juist niet lezen, en welke nieuwsbronnen volgen ze? Daarnaast kregen jongeren nieuwsberichten aangereikt die ze moesten rangschikken op relevantie. Dat leverde veel inzicht op in hoe ze nieuws beoordelen en keuzes maken.","Welke berichten spraken hen aan, waarom zouden iets wel of ju",What's nieuwsplatform?
"Genereer een korte en informatieve titel: Nederland kampt met een groeiend woningtekort, vooral in stedelijke gebieden waar de bevolkingsdruk toeneemt door vergrijzing, de toename van eenpersoonshuishoudens en migratie. Deze ontwikkelingen zetten druk op de beschikbare woonruimte, terwijl er weinig nieuwe bouwgrond beschikbaar is. Een oplossing voor dit probleem is het verdichten van bestaande naoorlogse woongebouwen door middel van optoppen, aanplakken en uitplinten. Deze methoden maken gebruik van bestaande constructies om nieuwe woningen toe te voegen zonder extra grondoppervlak te benutten. In dit onderzoek is de hoofdvraag: “Welke analysemethode is het meest effectief voor het beoordelen van de haalbaarheid van verdichting van naoorlogse gebouwen, rekening houdend met ruimtelijke, technische, financiële en juridische aspecten, en hoe kan deze methode binnen twee weken worden toegepast op een casestudy?” Om deze vraag te beantwoorden, is een combinatie van deskresearch en praktijkonderzoek uitgevoerd.Allereerst is een literatuurstudie gedaan naar bestaande analysemethoden en verdichtingsstrategieën. Vervolgens zijn interviews afgenomen met deskundigen uit de bouwsector om praktijkinzichten te verkrijgen. De verzamelde kennis is vertaald naar een handboek dat technische, financiële, juridische en ruimtelijke aspecten integreert. Op basis van de uitkomsten van het vooronderzoek is een nieuwe analysemethode ontwikkeld. Deze methode maakt het mogelijk om binnen twee weken een onderbouwde inschatting te maken van de verdichtingsmogelijkheden van naoorlogse gebouwen. De methode bestaat uit verschillende stappen die systematisch doorlopen worden, van een initiële verkenning van de verdichtingsmogelijkheden tot een gedetailleerde beoordeling van ruimtelijke, technische, financiële en juridische haalbaarheid. Elke stap is voorzien van duidelijke richtlijnen en praktische hulpmiddelen, waardoor de methode flexibel en breed inzetbaar is. Om de opgestelde analysemethode te toetsen is er een praktijkcasus getoetst in 's-Heerenberg. Deze toetsing bood waardevolle inzichten in de toepasbaarheid en effectiviteit van de onderzochte aanpak Bij het kijken naar de mogelijkheden van verdichting is het van belang dat er op een aantal factoren gelet wordt die afhankelijk zijn van de locatie, zoals de plaatselijke wetgeving en het perceel. Ook is het belangrijk om rekening te houden met de veranderende demografische samenstelling in de steden. In de komende jaren zal het aantal ouderen en eenpersoonshuishoudens toenemen, waardoor de vraag naar kleinere en toegankelijke woningen zal groeien. De verdichtingsmethoden bieden hiervoor een flexibele oplossing, zeker wanneer deze gecombineerd worden met duurzaamheidsmaatregelen Op basis van de resultaten is een handboek opgesteld dat beleidsmakers, architecten, projectontwikkelaars, VvE's en iedereen die zich met zulke vraagstukken bezig houdt, ondersteunt bij het maken van weloverwogen keuzes voor verdichting van naoorlogse woongebouwen. Het handboek benadrukt het belang van snelle en efficiënte analysemethoden die tevens rekening houden met sociale cohesie en leefbaarheid.",Nederland kampt met een groeiend woningtekort,Eenplesztek je gebruik van bestaande naoorlogse woongebouwen
"Genereer een korte en informatieve titel: In child centers, professionals from childcare, education, and occasionally family support services participate in interprofessional collaboration (IPC) to facilitate smooth transitions from childcare to primary education, coordination between school and out-of-school care, provide care for children with special needs, and implement integrated services policies at center level. This study employed a multilevel model for dyadic networks to examine a national sample of professional networks of 788 professionals from 46 Dutch child centers. A newly developed instrument for assessing the degree of integration at center level (Index for Child Center Integration, ICCI) was associated with (inter)professional collaboration at dyadic level for childcare-to-school transitions, out-of-school care to school transition, care for children with special needs, and policy at center level. Higher levels of service integration at center level were associated with increased interprofessional collaboration.",Interprofessional collaboration in child centers: a multilevel model for dyadic networks,Interprofessional collaboration at dyadic level: A high-level model for professional networks in child centers
"Genereer een korte en informatieve titel: Deze scriptie richt zich op de betekenis die medewerkers van de groenafdeling van Impact toekennen aan hun werk en de factoren die bijdragen aan deze betekenisgeving. Impact is een sociaal werk- en ontwikkelbedrijf in Kampen en Dronten dat binnen de Participatiewet werk biedt aan mensen met een afstand tot de arbeidsmarkt. Binnen de groenafdeling worden zij begeleid in leerwerktrajecten die gericht zijn op ontwikkeling, participatie en vakmanschap. De aanleiding voor dit onderzoek is de toenemende complexiteit van de doelgroep, onder andere door psychische kwetsbaarheid, beperkte belastbaarheid en een groeiende vraag naar maatwerk in begeleiding.",Impact toekennen aan hun werk en factoren die bijdragen aan de betekenisgeving,Impact-teit aan groenafdeling van Impact in Kampen
"Genereer een korte en informatieve titel: By addressing the sub-research questions, the main research question and data mining goal were answered. Drought tolerance can be quantified using yield loss between control and drought treatments and robustly assessed by ranking varieties within each year. Varieties that consistently rank high or low across years can be identified as tolerant or sensitive. The most informative field trial data consisted of a subset of 12 drone-derived vegetation indices and spectral signatures measured throughout the growing season. Using these features, a Support Vector Machine achieved a mean absolute error (MAE) of 1.31, a Pearson’s r of 0.89, and an R² of 0.80 when predicting total yield, thereby exceeding the project’s success criteria. However, Meijer’s broader business objective—to predict abiotic stress early, or using DNA data alone, in order to reduce the time and resources required for field trials and the breeding process—was not achieved. The best-performing model relied on drone data from the full growing season, meaning predictions would only be available shortly before harvest, after most resources had already been invested. To meaningfully support Meijer’s objectives, predictions would need to be made using genetic data alone. This was explored by characterizing varietal yield variation using SHAP values; however, attempts to link these signals to specific genomic positions using a LASSO regression model were unsuccessful. Despite this limitation, the project provides a strong foundation for future work. It clarifies how drought tolerance can be quantified, identifies which data sources are most informative, and highlights the challenges of separating genetic and environmental effects. These findings form a clear starting point for further research, as discussed in the following chapter.",Research Question and Data Mining: Drought tolerance in a Field Trial,Is Drought Toxic Stress Early in Seed?
"Genereer een korte en informatieve titel: Sustainable human resource management (HRM) advocates a shift toward pluralism, emphasizing the legitimacy of multiple stakeholder interests, voices, and meanings. Intended dialogue is often promoted as a key practice to support this shift. However, how intended dialogue actually contributes to pluralism remains under-theorized. Moreover, dialogue is frequently idealized as a route to harmony or ‘common ground,’ which can obscure power dynamics, silence dissent, and suppress difference. Building on dialogical ethics and framing theory, this conceptual paper introduces the intended dialogical responsibility (IDR) model, which reconceptualizes intended dialogue not as consensus-seeking but as a reflective space for exploring irreducible differences. Drawing on dialogue theorists such as Buber, Levinas, and Bakhtin, dialogical responsibility is proposed as an ethical form of ‘thirdness’—a mediating presence in the leader–worker dyad that invites participants to remain open to the other, question their own frames, and attend to asymmetries in voice and power. To support this stance, the IDR model employs framing theory to distinguish between micro-level situated frames (e.g., issue and relationship frames), meso-level strategic frames, and macro-level institutional frames. Dialogue is thus understood as a dynamic, ongoing, and reflexive process—occurring within and beyond episodic conversations—where meanings are co-constructed and contested over time. This paper contributes to sustainable HRM literature by offering a multilevel theoretical model and sensitizing questions to support ethically responsive dialogue. It provides a conceptual foundation for navigating pluralism and fostering dialogical spaces in complex organizational contexts.",Sustainable human resource management: a shift toward pluralism,A paradigm shift toward the human resource management of human resources: its conceptualisation
"Genereer een korte en informatieve titel: Artificial Intelligence (AI) is transforming workflows across various industries, including life sciences. When deployed securely, generative AI tools can automate structured programming tasks. In clinical research, a significant challenge is converting raw trial data into the formats required for regulatory purposes. The Clinical Data Interchange Standards Consortium (CDISC) establishes global data standards for submissions to regulatory authorities such as the FDA or EDA. Its Study Data Tabulation Model (SDTM) ensures uniformity in clinical trial datasets. Producing SDTM-compliant datasets is mandatory for regulatory authorities such as the FDA. It's obligatory to use SAS (Statistical Analysis System) as a programming language. Although powerful, SAS requires manual coding by expert statistical programmers. This task is labour-intensive, time-consuming, and susceptible to human error. Contract Research Organisations (CROs) often assist sponsors in managing this workload. Large CROs can utilise proprietary macros and automated pipelines, while small and medium-sized enterprises (SMEs) typically lack such infrastructure. As a result, they frequently encounter heterogeneous data from multiple vendors, complicating the SDTM conversion process. This study evaluates the use of generative AI as a supportive programmer for dataset conversion. We deployed ChatGPT-4 within a secure Azure AI environment.Iterative prompting, standards SDTM documents, and an increasingly curated Knowledgebase Document guided the AI. Our case study focused on the Demographics (DM) domain, which is a key SDTM dataset. Step by step, the AI generated structured and increasingly accurate SAS code. Through feedback loops, omissions and errors were systematically corrected. After four iterations, we produced 95 clean lines of SAS code. The resulting DM dataset met the compliance requirements for SDTM version 3.4. The Knowledgebase Document created reusable, explicit instructions for future conversions. This approach demonstrated reproducibility, scalability, and alignment with regulatory standards. We conclude that generative AI can reduce time, costs, and resource barriers, and its adoption can accelerate submission readiness for both CROs and SMEs.","Artificial Intelligence: transforming workflows across various industries, including life sciences",Engineers for Artificial Intelligence: transforming workflows across various industries
"Genereer een korte en informatieve titel: Dear Reader, Welcome to Sustainable EU Economy. This book is more than a textbook—it is an invitation to explore how the European Union shapes business, society, and sustainability in today’s interconnected world. My hope is that it will inspire you to think critically, engage actively, and see how Europe’s vision for a climate‑neutral and inclusive future connects directly to your own journey as a student and professional. This book was created to guide you through one of the most dynamic and influential regions in the world—the European Union. With its single market of over 450 million consumers and policies that shape global standards, the EU is not only a trading bloc but also a laboratory for resilience, sustainability, and innovation. This book will help you see the EU not just as an institution, but as a living system that directly impacts business, society, and the environment. You will explore how Europe is responding to challenges such as climate change, digital transformation, and shifting geopolitics, and how these responses create opportunities for businesses and professionals like you. This textbook is not a static resource but an interactive digital reference, designed to evolve alongside the changing study of European integration and sustainability. By combining case studies, discussion prompts, and applied exercises with live seminar content and guest lectures, it adapts to new research, policy debates, and global challenges. In this way, you may explore the EU not only as a historical and political project, but also as a dynamic economic system that continually reshapes business strategy, trade, and innovation. About the Jean Monnet Chair in Sustainable EU Economy: Awarded by the European Commission to Dr. Beata Kviatek and hosted by Hanze University of Applied Sciences, the Jean Monnet Chair in Sustainable EU Economy represents the first such Chair at a Dutch university of applied sciences. Co‑financed by the Erasmus+ Programme and Hanze University, the Chair advances knowledge of the EU’s transition toward a climate‑neutral, resource‑efficient, and socially inclusive economy. It promotes excellence in teaching and research, integrates sustainability priorities into business education, and fosters dialogue among academia, policymakers, businesses, and society. By producing impactful studies on green finance, energy transition, and corporate responsibility, and by linking local initiatives with EU goals, the Chair provides a vibrant platform for debate and engagement on Europe’s sustainable future.","How the European Union shapes business, society, and sustainability in today’s interconnected world",The European Union for a Climate-Neutral Future
"Genereer een korte en informatieve titel: Deze scriptie onderzoekt hoe bacteriële ziekte Rhodococcus fascians in lelies effectief kan worden beheerst met duurzamere methoden. Dertien behandelingen — variërend van heetwater­behandelingen met biociden of organische zuren tot rechtop planten van bollen — werden met elkaar vergeleken op twee gevoelige cultivars. Het rechtop planten leverde de beste resultaten op: 24 % meer totaalgewicht, de zwaarste hoofdbollen en 75 % minder stengel­bolvorming. Heetwater­combinaties en biociden gaven wisselende uitkomsten; hoge concentraties organische zuren en Menno Floralis konden de opbrengst verlagen. De studie toont dat eenvoudige teelt­technieken een veelbelovend alternatief vormen voor conventionele pesticide-afhankelijke strategieën en ondersteunt de transitie naar duurzamere gewasbescherming.",Heetwater­behandelingen met biociden of organische zuren tot rechtop planten van bollen,Vi heetwater – rechtop planten met biociden of organische zuren tot rechtop planten
